configuration_id,TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,96,53,10,28,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,6,18,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,35,108,0.8333333333333334
Default,br.com.swconsultoria.certificado.exception.CertificadoException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18,2,4,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoA3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8834033613445378,71,56,7,12,1.0
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,95,52,9,22,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,5,14,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,35,107,0.8333333333333334
Default,br.com.swconsultoria.certificado.exception.CertificadoException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18,2,4,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoA3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8834033613445378,71,56,7,12,1.0
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,95,52,9,22,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,5,16,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,35,106,0.8333333333333334
Default,br.com.swconsultoria.certificado.exception.CertificadoException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18,2,4,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoA3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8834033613445378,71,56,7,12,1.0
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,95,52,9,21,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,6,19,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,35,110,0.8333333333333334
Default,br.com.swconsultoria.certificado.exception.CertificadoException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18,2,5,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoA3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8834033613445378,71,56,7,12,1.0
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,95,52,9,22,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,5,16,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,34,100,0.8333333333333334
Default,br.com.swconsultoria.certificado.exception.CertificadoException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18,3,5,1.0
Default,br.com.swconsultoria.certificado.TipoCertificadoA3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8834033613445378,71,56,7,12,1.0
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,96,53,10,27,0.0
Default,br.com.swconsultoria.certificado.TipoCertificadoEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,0,0,0,0,1.0
Default,br.com.swconsultoria.certificado.util.CacertUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5640151515151515,204,118,2,5,0.0
Default,br.com.swconsultoria.certificado.util.DocumentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6665363769022306,142,62,4,7,0.2073170731707317
Default,br.com.swconsultoria.certificado.AliasKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7654353408029878,75,50,5,14,0.4444444444444444
Default,br.com.swconsultoria.certificado.Certificado,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9765625,244,232,34,103,0.8333333333333334
